practice,0,189,4,true
qid-20,0,189,2,true
qid-4,0,147,38,false
qid-36,0,183,8,true
qid-49,0,162,33,false
qid-22,0,179,138,false
qid-30,0,40,65,false
qid-29,0,168,30,true
qid-27,0,182,50,false
qid-25,0,117,162,true
qid-11,0,133,110,false
qid-26,0,198,12,true
qid-35,0,9,139,false
qid-23,0,117,187,true
qid-28,0,6,135,false
qid-12,0,43,138,false
qid-47,0,31,63,true
qid-48,0,133,50,true
qid-24,0,142,32,true
qid-41,0,138,38,true
qid-46,0,23,147,false
qid-7,0,195,6,false
qid-9,0,154,11,true
qid-10,0,59,127,false
qid-3,0,128,40,true
qid-44,0,119,49,false
qid-6,0,147,35,true
qid-32,0,39,117,false
qid-17,0,55,146,false
qid-42,0,152,27,false
qid-19,0,136,41,true
qid-45,0,161,35,false
qid-33,0,161,23,false
qid-14,0,175,33,false
qid-1,0,179,10,true
qid-50,0,155,34,false
qid-34,0,176,28,false
qid-15,0,168,27,false
qid-31,0,175,19,true
qid-40,0,32,145,false
qid-2,0,35,149,false
qid-39,0,152,26,false
qid-21,0,50,140,false
qid-8,0,147,37,false
qid-16,0,139,19,false
qid-13,0,183,7,false
qid-43,0,181,12,false
qid-38,0,23,153,false
qid-18,0,21,128,false
qid-37,0,178,21,false
qid-5,0,177,13,false
